State_Name,District_Name,Crop_Year,Season,Crop,Area,Production
Karnataka,BELGAUM,2002,Whole Year ,Brinjal,1549.0,8744.0
Tripura,WEST TRIPURA,2008,Kharif     ,Rice,96284.0,245684.0
Manipur,CHANDEL,2003,Rabi       ,Rapeseed &Mustard,20.0,10.0
Kerala,THIRUVANANTHAPURAM,1998,Whole Year ,Dry chillies,3.0,3.0
Odisha,KORAPUT,2003,Rabi       ,Linseed,220.0,50.0
Manipur,CHANDEL,2002,Kharif     ,Dry ginger,130.0,210.0
Kerala,ERNAKULAM,2011,Whole Year ,Potato,4.0,46.0
Telangana ,MAHBUBNAGAR,2000,Rabi       ,Samai,74.0,38.0
Maharashtra,AKOLA,2014,Kharif     ,Soyabean,233100.0,69600.0
Madhya Pradesh,RAISEN,2004,Rabi       ,Gram,131525.0,136260.0
Haryana,REWARI,2004,Kharif     ,Sesamum,219.0,
Punjab,BATHINDA,2013,Kharif     ,Rice,111000.0,501000.0
Telangana ,KARIMNAGAR,2001,Whole Year ,Banana,1.0,
Maharashtra,SINDHUDURG,1998,Rabi       ,Other Cereals & Millets,100.0,100.0
Manipur,CHURACHANDPUR,2002,Whole Year ,Brinjal,41.0,0.0
Haryana,HISAR,2005,Kharif     ,Arhar/Tur,22.0,
West Bengal,DARJEELING,2007,Kharif     ,Groundnut,1.0,1.0
West Bengal,DARJEELING,2006,Rabi       ,Masoor,16.0,9.0
Telangana ,KARIMNAGAR,2004,Rabi       ,Groundnut,16453.0,16766.0
Uttar Pradesh,MUZAFFARNAGAR,1998,Kharif     ,Ragi,2.0,3.0
Nagaland,TUENSANG,2004,Rabi       ,Masoor,210.0,100.0
Telangana ,NIZAMABAD,2009,Whole Year ,Garlic,131.0,142.0
Odisha,NABARANGPUR,2000,Kharif     ,Jute,20.0,90.0
Jharkhand,LATEHAR,2005,Rabi       ,Potato,434.64,2904.26
Maharashtra,JALGAON,2000,Rabi       ,Jowar,27900.0,28000.0
Meghalaya,WEST KHASI HILLS,2000,Whole Year ,Banana,662.0,5175.0
Tamil Nadu,TUTICORIN,1997,Whole Year ,Pulses total,24295.0,10530.0
Puducherry,YANAM,2012,Kharif     ,Paddy,307.0,1416.0
Madhya Pradesh,JABALPUR,1999,Whole Year ,Garlic,58.0,251.0
Maharashtra,JALGAON,1999,Kharif     ,Cotton(lint),399100.0,562000.0
Manipur,UKHRUL,2002,Whole Year ,Other Fresh Fruits,855.0,1215.0
Haryana,KURUKSHETRA,2011,Whole Year ,Onion,651.0,11800.0
Uttar Pradesh,MIRZAPUR,1997,Whole Year ,Sugarcane,3011.0,130544.0
Maharashtra,SATARA,2003,Whole Year ,Mango,8959.0,16000.0
Mizoram,AIZAWL,2002,Kharif     ,Urad,6.0,4.0
Nagaland,MON,2006,Kharif     ,Sesamum,610.0,390.0
Maharashtra,AHMEDNAGAR,2012,Kharif     ,Ragi,2800.0,3100.0
Haryana,FATEHABAD,2009,Whole Year ,Sugarcane,176.0,
Manipur,IMPHAL EAST,2002,Whole Year ,Other Vegetables,30.0,150.0
Jammu and Kashmir ,JAMMU,1999,Whole Year ,Sugarcane,54.0,32.5
Madhya Pradesh,SEHORE,2008,Rabi       ,Khesari,504.0,410.0
Uttar Pradesh,JALAUN,2003,Rabi       ,Ragi,4.0,6.0
Chhattisgarh,DURG,2000,Kharif     ,Horse-gram,488.0,127.0
Tamil Nadu,KRISHNAGIRI,2007,Whole Year ,Black pepper,5.0,1.0
Rajasthan,SIROHI,2004,Rabi       ,Gram,2180.0,1627.0
Rajasthan,RAJSAMAND,1998,Kharif     ,Cotton(lint),1363.0,325.0
Madhya Pradesh,SATNA,2012,Kharif     ,Mesta,1.0,
Puducherry,KARAIKAL,2001,Rabi       ,Moong(Green Gram),205.0,0.0
Mizoram,KOLASIB,2005,Whole Year ,Rice,8492.0,18068.0
Odisha,NUAPADA,1997,Autumn     ,Arhar/Tur,12.0,1.0
Arunachal Pradesh,WEST SIANG,1997,Kharif     ,Sesamum,67.0,45.0
Madhya Pradesh,SEHORE,2003,Whole Year ,Orange,20.0,0.0
Rajasthan,JHALAWAR,2002,Whole Year ,Sannhamp,63.0,26.0
Karnataka,HAVERI,2002,Whole Year ,Beans & Mutter(Vegetable),3.0,24.0
Goa,SOUTH GOA,2010,Kharif     ,Other Kharif pulses,30.0,20.0
Odisha,SUNDARGARH,2002,Rabi       ,Rapeseed &Mustard,671.0,118.8
Himachal Pradesh,LAHUL AND SPITI,2008,Rabi       ,Wheat,57.0,60.0
Tamil Nadu,SALEM,2006,Whole Year ,Castor seed,472.0,142.0
Meghalaya,EAST JAINTIA HILLS,2003,Whole Year ,Pineapple,130.0,949.0
Odisha,NAYAGARH,2001,Rabi       ,Safflower,50.0,20.0
Andhra Pradesh,WEST GODAVARI,2010,Whole Year ,Tobacco,28168.0,52357.0
Tripura,UNAKOTI,2012,Rabi       ,Masoor,100.0,71.0
Telangana ,WARANGAL,2003,Rabi       ,other oilseeds,4.0,
Nagaland,TUENSANG,2012,Kharif     ,Tapioca,180.0,3650.0
Andhra Pradesh,EAST GODAVARI,2012,Kharif     ,Brinjal,1751.0,19678.0
Uttar Pradesh,SONBHADRA,2004,Kharif     ,Sugarcane,235.0,10114.0
Chhattisgarh,RAJNANDGAON,2002,Rabi       ,Moong(Green Gram),190.0,35.0
Tamil Nadu,MADURAI,1999,Kharif     ,Varagu,496.0,560.0
Maharashtra,WARDHA,1997,Kharif     ,Maize,200.0,200.0
Uttarakhand,PAURI GARHWAL,2010,Whole Year ,Dry ginger,78.0,509.0
Assam,MARIGAON,2013,Kharif     ,Jute,5177.0,49210.0
Chhattisgarh,RAIGARH,2003,Rabi       ,Horse-gram,90.0,25.0
Gujarat,JAMNAGAR,1998,Whole Year ,Pulses total,29100.0,20300.0
Goa,SOUTH GOA,2014,Whole Year ,Sugarcane,679.0,43448.0
Karnataka,UDUPI,2010,Rabi       ,Rice,8982.0,19578.0
Karnataka,BELGAUM,2002,Whole Year ,Citrus Fruit,74.0,394.0
Haryana,SIRSA,2009,Kharif     ,Castor seed,823.0,900.0
Haryana,SIRSA,2003,Whole Year ,Other Vegetables,1614.0,11100.0
Haryana,SIRSA,2010,Kharif     ,Groundnut,773.0,900.0
Assam,LAKHIMPUR,2005,Rabi       ,Peas & beans (Pulses),432.0,180.0
Assam,KAMRUP,2002,Rabi       ,Other  Rabi pulses,8780.0,5158.0
Telangana ,MAHBUBNAGAR,2002,Whole Year ,Bottle Gourd,5.0,0.0
Nagaland,MON,2013,Kharif     ,Ricebean (nagadal),340.0,380.0
Jammu and Kashmir ,RAJAURI,2001,Rabi       ,Gram,16.0,9.0
Bihar,GOPALGANJ,1997,Whole Year ,Banana,28.0,678.0
West Bengal,DINAJPUR UTTAR,2000,Kharif     ,Ragi,598.0,1049.0
Chandigarh,CHANDIGARH,2007,Kharif     ,Maize,20.0,40.0
Tamil Nadu,VILLUPURAM,1999,Kharif     ,Mesta,10.0,47.0
Karnataka,UTTAR KANNAD,2002,Whole Year ,Citrus Fruit,4.0,69.0
Telangana ,ADILABAD,1999,Rabi       ,Maize,4761.0,18306.0
Rajasthan,RAJSAMAND,1998,Rabi       ,Peas & beans (Pulses),9.0,7.0
Karnataka,KODAGU,2000,Kharif     ,Dry ginger,4200.0,54345.0
Rajasthan,JAISALMER,2007,Kharif     ,Bajra,128864.0,27413.0
Jharkhand,DEOGHAR,2003,Winter     ,Rice,51821.8,51234.49
Nagaland,WOKHA,2009,Kharif     ,Mesta,220.0,220.0
Karnataka,CHITRADURGA,2000,Whole Year ,Arecanut,9827.0,9466.0
Andhra Pradesh,PRAKASAM,2003,Whole Year ,Coriander,6061.0,4588.0
Tamil Nadu,KRISHNAGIRI,2004,Kharif     ,Niger seed,304.0,
Uttarakhand,ALMORA,2009,Kharif     ,Urad,956.0,746.0
Haryana,FARIDABAD,1999,Rabi       ,Barley,2790.0,6000.0
Telangana ,MAHBUBNAGAR,1998,Kharif     ,Ragi,11900.0,8600.0
Uttarakhand,TEHRI GARHWAL,2007,Kharif     ,Sesamum,361.0,63.0
Madhya Pradesh,UMARIA,2003,Whole Year ,Mango,15.0,0.0
Bihar,BEGUSARAI,2005,Whole Year ,Tobacco,3.0,3.0
Manipur,TAMENGLONG,2002,Kharif     ,Rice,7450.0,9090.0
Chandigarh,CHANDIGARH,2000,Whole Year ,Onion,12.0,180.0
Telangana ,MEDAK,2006,Whole Year ,Sugarcane,30433.0,2538903.0
Rajasthan,BARAN,2002,Whole Year ,Papaya,22.0,0.0
Jharkhand,PALAMU,2007,Whole Year ,Sugarcane,239.27,10050.0
Madhya Pradesh,SHIVPURI,2003,Kharif     ,Maize,24624.0,52862.0
Kerala,KOTTAYAM,2003,Whole Year ,Bhindi,19.0,0.0
Gujarat,DOHAD,2006,Kharif     ,Castor seed,300.0,500.0
Himachal Pradesh,CHAMBA,2008,Rabi       ,Garlic,147.0,82.0
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Autumn     ,Rice,1595.5,3788.0
West Bengal,MURSHIDABAD,1999,Whole Year ,Coconut ,3963.0,35758.1
West Bengal,COOCHBEHAR,1997,Rabi       ,Wheat,21710.0,32700.0
Mizoram,AIZAWL,2003,Kharif     ,Cotton(lint),50.0,141.0
Andhra Pradesh,EAST GODAVARI,2012,Rabi       ,Cowpea(Lobia),197.0,180.0
Assam,LAKHIMPUR,2010,Kharif     ,Castor seed,133.0,59.0
Madhya Pradesh,RATLAM,2002,Kharif     ,Castor seed,6.0,2.0
Haryana,GURGAON,2002,Rabi       ,Rapeseed &Mustard,59622.0,75000.0
Uttar Pradesh,SHAHJAHANPUR,2009,Rabi       ,Wheat,259172.0,927317.0
Karnataka,KOLAR,2001,Rabi       ,Other  Rabi pulses,152.0,18.0
Tripura,SOUTH TRIPURA,2008,Rabi       ,Other  Rabi pulses,487.0,482.0
Bihar,MADHUBANI,2002,Whole Year ,Banana,222.0,2178.0
Andhra Pradesh,KURNOOL,2011,Whole Year ,Banana,612.0,18621.0
Sikkim,NORTH DISTRICT,2011,Kharif     ,Urad,190.0,160.0
Kerala,MALAPPURAM,2012,Whole Year ,Coconut ,102417.0,1125000000.0
Madhya Pradesh,ANUPPUR,2006,Kharif     ,Horse-gram,87.0,25.0
West Bengal,HOWRAH,2007,Whole Year ,Arecanut,504.0,1050.0
Tamil Nadu,TUTICORIN,1999,Whole Year ,Guar seed,131.0,1363.0
Tamil Nadu,TIRUVANNAMALAI,2003,Whole Year ,Pineapple,1.0,31.0
Madhya Pradesh,TIKAMGARH,2006,Kharif     ,Jute,57.0,89.0
Tamil Nadu,THENI,2003,Whole Year ,Grapes,1708.0,49199.0
Odisha,BARGARH,1999,Kharif     ,Mesta,1890.0,5880.0
Telangana ,MEDAK,2001,Kharif     ,Niger seed,150.0,63.0
Uttar Pradesh,GHAZIPUR,2003,Kharif     ,Sesamum,49.0,6.0
Uttarakhand,PITHORAGARH,2000,Kharif     ,Maize,3586.0,4665.0
Arunachal Pradesh,WEST KAMENG,2001,Whole Year ,Pulses total,249.0,210.0
Meghalaya,SOUTH GARO HILLS,2001,Kharif     ,Soyabean,8.0,9.0
Tamil Nadu,NAGAPATTINAM,2013,Whole Year ,Arecanut,1.0,1.0
Madhya Pradesh,DEWAS,1999,Whole Year ,Sannhamp,68.0,167.0
Andhra Pradesh,KURNOOL,2000,Kharif     ,Niger seed,12.0,4.0
Madhya Pradesh,SEONI,1999,Kharif     ,Ragi,1.0,0.1
Uttarakhand,BAGESHWAR,2000,Kharif     ,Ragi,7469.0,10370.0
Madhya Pradesh,BURHANPUR,2003,Whole Year ,Brinjal,164.0,0.0
Jammu and Kashmir ,BARAMULLA,2003,Rabi       ,Linseed,5.0,4.0
Uttarakhand,HARIDWAR,2000,Whole Year ,Dry ginger,4.0,34.0
Assam,NALBARI,2009,Kharif     ,Small millets,75.0,34.0
Himachal Pradesh,LAHUL AND SPITI,2002,Whole Year ,Potato,813.0,11136.0
Puducherry,PONDICHERRY,2001,Rabi       ,Other  Rabi pulses,107.0,86.0
Madhya Pradesh,DEWAS,2013,Rabi       ,Gram,109463.0,76356.0
West Bengal,BIRBHUM,1999,Rabi       ,Gram,4897.0,5124.0
Andhra Pradesh,SRIKAKULAM,2000,Kharif     ,other misc. pulses,82.0,51.0
Puducherry,PONDICHERRY,2014,Kharif     ,Rice,2942.0,10041.0
Karnataka,KODAGU,2001,Kharif     ,Dry ginger,3560.0,46064.0
Haryana,PANIPAT,2011,Whole Year ,Potato,151.0,3800.0
Madhya Pradesh,BHIND,2006,Kharif     ,Jute,2.0,6.0
Nagaland,TUENSANG,2013,Rabi       ,Wheat,310.0,560.0
Rajasthan,BUNDI,2009,Kharif     ,Rice,36145.0,31357.0
Himachal Pradesh,CHAMBA,1999,Whole Year ,Dry chillies,29.0,7.0
Odisha,GAJAPATI,2004,Whole Year ,Tobacco,106.0,91.0
Gujarat,RAJKOT,2005,Rabi       ,Wheat,73700.0,268700.0
Karnataka,CHIKMAGALUR,2002,Kharif     ,Castor seed,694.0,641.0
Haryana,AMBALA,2008,Kharif     ,Cotton(lint),6.0,
Puducherry,KARAIKAL,2014,Kharif     ,Ragi,1.0,2.0
Karnataka,MYSORE,2008,Whole Year ,Banana,3706.0,60286.0
Andhra Pradesh,GUNTUR,2010,Whole Year ,Sunflower,24.0,30.0
Uttarakhand,UDAM SINGH NAGAR,2014,Kharif     ,Total foodgrain,101728.0,330581.0
Madhya Pradesh,CHHINDWARA,2012,Kharif     ,Groundnut,17663.0,30009.0
West Bengal,24 PARAGANAS NORTH,1997,Whole Year ,Maize,5.0,10.0
Tripura,WEST TRIPURA,2004,Rabi       ,Gram,68.0,53.0
Kerala,KOZHIKODE,2003,Whole Year ,Drum Stick,2993.0,1197.0
Kerala,PALAKKAD,2000,Whole Year ,Cashewnut,6136.0,2458.0
Uttar Pradesh,FIROZABAD,1997,Rabi       ,Peas & beans (Pulses),2339.0,3742.0
Bihar,NAWADA,2001,Rabi       ,Safflower,4.0,3.0
Tamil Nadu,THE NILGIRIS,2002,Whole Year ,Pineapple,2.0,62.0
Maharashtra,BHANDARA,1998,Summer     ,Rice,13500.0,21100.0
Chhattisgarh,DURG,2012,Rabi       ,Khesari,14820.0,6156.0
Chhattisgarh,BILASPUR,2011,Whole Year ,Sannhamp,150.0,289.0
Meghalaya,EAST GARO HILLS,2004,Kharif     ,Castor seed,8.0,4.0
Tamil Nadu,VELLORE,2003,Whole Year ,Grapes,33.0,796.0
Arunachal Pradesh,WEST SIANG,2008,Whole Year ,Turmeric,57.0,257.0
Tamil Nadu,KARUR,2003,Whole Year ,Grapes,7.0,169.0
Telangana ,MAHBUBNAGAR,2003,Whole Year ,Mango,6098.0,18575.0
Andhra Pradesh,PRAKASAM,2006,Whole Year ,Banana,95.0,1890.0
Andhra Pradesh,GUNTUR,2014,Rabi       ,Soyabean,4.0,12.0
Assam,MARIGAON,1999,Rabi       ,Rapeseed &Mustard,7500.0,2438.0
Uttarakhand,BAGESHWAR,2004,Kharif     ,Horse-gram,358.0,251.0
Bihar,KATIHAR,2000,Summer     ,Rice,40107.0,74376.0
Karnataka,BIDAR,2013,Whole Year ,Sugarcane,26490.0,1937744.0
Andhra Pradesh,KURNOOL,1999,Rabi       ,Masoor,325.0,87.0
Himachal Pradesh,SIRMAUR,2007,Kharif     ,Horse-gram,284.0,256.0
Haryana,FATEHABAD,2005,Kharif     ,Arhar/Tur,41.0,100.0
Haryana,FARIDABAD,2012,Rabi       ,Barley,302.0,
Bihar,MADHEPURA,2000,Rabi       ,Masoor,1776.0,1606.0
Bihar,SAHARSA,2012,Whole Year ,Sugarcane,229.0,12471.0
Manipur,BISHNUPUR,2006,Kharif     ,Dry ginger,20.0,30.0
Gujarat,PANCH MAHALS,2007,Kharif     ,Ragi,400.0,400.0
Jammu and Kashmir ,REASI,2007,Kharif     ,Urad,351.0,178.7
Jammu and Kashmir ,SRINAGAR,2003,Whole Year ,Other Fresh Fruits,2750.0,0.0
Kerala,THIRUVANANTHAPURAM,2002,Whole Year ,Other Vegetables,2286.0,0.0
Tamil Nadu,MADURAI,2011,Kharif     ,Bajra,3306.0,7674.0
Sikkim,NORTH DISTRICT,1998,Whole Year ,Total foodgrain,6668.0,6037.0
Uttarakhand,UTTAR KASHI,2012,Rabi       ,Barley,246.0,387.0
Telangana ,MAHBUBNAGAR,2011,Kharif     ,Urad,1481.0,1038.0
Chhattisgarh,RAJNANDGAON,2002,Kharif     ,Other Kharif pulses,312.0,107.0
Uttarakhand,UTTAR KASHI,2003,Kharif     ,Arhar/Tur,212.0,159.0
Himachal Pradesh,SHIMLA,2010,Rabi       ,Onion,53.0,539.0
Nagaland,ZUNHEBOTO,2010,Rabi       ,Linseed,260.0,210.0
Jammu and Kashmir ,REASI,2007,Rabi       ,Garlic,26.0,21.9
Manipur,CHURACHANDPUR,2003,Whole Year ,Sweet potato,15.0,99.0
Dadra and Nagar Haveli,DADRA AND NAGAR HAVELI,2003,Winter     ,Gram,152.0,122.0
Andhra Pradesh,EAST GODAVARI,2002,Whole Year ,Bottle Gourd,44.0,0.0
Gujarat,JUNAGADH,2006,Kharif     ,Urad,4900.0,2300.0
Uttarakhand,BAGESHWAR,2001,Kharif     ,Horse-gram,298.0,158.0
Nagaland,ZUNHEBOTO,2008,Kharif     ,Turmeric,50.0,200.0
Assam,KARBI ANGLONG,2006,Rabi       ,Gram,470.0,247.0
Madhya Pradesh,CHHINDWARA,2009,Rabi       ,Urad,1.0,
Tamil Nadu,TIRUPPUR,2013,Kharif     ,Moong(Green Gram),985.0,116.0
Goa,SOUTH GOA,2006,Whole Year ,Cashewnut,15020.0,6615.0
Chhattisgarh,DURG,2006,Whole Year ,Turmeric,1.0,1.0
Rajasthan,PALI,1999,Whole Year ,Garlic,43.0,56.0
Meghalaya,EAST JAINTIA HILLS,2012,Whole Year ,Sugarcane,11.0,11.0
Tamil Nadu,THE NILGIRIS,2006,Whole Year ,Garlic,88.0,488.0
Chhattisgarh,DANTEWADA,2011,Whole Year ,Sannhamp,17.0,25.0
Nagaland,MON,2014,Rabi       ,Rapeseed &Mustard,3630.0,3670.0
Uttar Pradesh,KHERI,2003,Kharif     ,Sesamum,4081.0,257.0
Himachal Pradesh,KANGRA,2006,Kharif     ,Moong(Green Gram),3.0,1.0
Jammu and Kashmir ,REASI,2007,Kharif     ,Dry ginger,8.0,9.2
Manipur,TAMENGLONG,2003,Whole Year ,Bitter Gourd,2.0,11.0
Chhattisgarh,DHAMTARI,2012,Kharif     ,Maize,1487.0,4011.0
Tamil Nadu,KRISHNAGIRI,2003,Whole Year ,Grapes,108.0,1766.0
Madhya Pradesh,BURHANPUR,2006,Kharif     ,Jute,63.0,139.0
Arunachal Pradesh,LOHIT,1998,Whole Year ,Dry chillies,60.0,163.0
Puducherry,PONDICHERRY,2012,Summer     ,Moong(Green Gram),1.0,1.0
Meghalaya,EAST GARO HILLS,2004,Whole Year ,Coriander,16.0,86.0
Telangana ,MEDAK,2000,Rabi       ,Linseed,1106.0,292.0
Tripura,DHALAI,2003,Whole Year ,Jute & mesta,461.0,3672.0
Madhya Pradesh,RAJGARH,2003,Whole Year ,Brinjal,153.0,0.0
Punjab,JALANDHAR,2002,Rabi       ,Gram,100.0,100.0
Tamil Nadu,DHARMAPURI,2002,Whole Year ,Ash Gourd,12.0,0.0
Arunachal Pradesh,UPPER SUBANSIRI,2007,Whole Year ,Oilseeds total,462.0,459.0
Uttarakhand,NAINITAL,2006,Kharif     ,Groundnut,112.0,101.0
Puducherry,PONDICHERRY,2001,Kharif     ,Dry ginger,133.0,85.0
Nagaland,PHEK,2014,Rabi       ,Lentil,170.0,140.0
Karnataka,HASSAN,2000,Summer     ,Rice,11638.0,33622.0
Assam,CHIRANG,2011,Winter     ,Paddy,35480.0,42430.0
Rajasthan,DAUSA,2006,Whole Year ,Potato,10.0,17.0
Odisha,KHORDHA,2002,Rabi       ,Other  Rabi pulses,280.0,120.0
Jammu and Kashmir ,KATHUA,2007,Rabi       ,Peas & beans (Pulses),4.0,2.8
Andhra Pradesh,KADAPA,2009,Kharif     ,Rice,52423.0,153757.0
Karnataka,BAGALKOT,2013,Summer     ,Cowpea(Lobia),894.0,352.0
Rajasthan,BIKANER,2003,Whole Year ,Oilseeds total,2.0,0.0
Rajasthan,UDAIPUR,1999,Rabi       ,Peas & beans (Pulses),16.0,35.0
Punjab,GURDASPUR,1999,Rabi       ,Peas & beans (Pulses),500.0,300.0
Telangana ,WARANGAL,2006,Kharif     ,Rice,140255.0,408002.0
Rajasthan,AJMER,2007,Whole Year ,Sweet potato,110.0,161.0
Karnataka,BELLARY,1998,Kharif     ,Rapeseed &Mustard,79.0,6.0
Bihar,MUZAFFARPUR,2002,Rabi       ,Other  Rabi pulses,125.0,84.0
Assam,NALBARI,2007,Kharif     ,Maize,85.0,64.0
Chhattisgarh,KONDAGAON,2011,Whole Year ,Coconut ,35.0,
Uttarakhand,UDAM SINGH NAGAR,2014,Whole Year ,Total foodgrain,217299.0,669556.0
Telangana ,RANGAREDDI,2003,Whole Year ,Other Vegetables,5696.0,0.0
Uttar Pradesh,FIROZABAD,2011,Rabi       ,Rapeseed &Mustard,8866.0,12835.0
Bihar,BHAGALPUR,2012,Kharif     ,Other Kharif pulses,296.0,230.0
Uttar Pradesh,SANT RAVIDAS NAGAR,2010,Summer     ,Moong(Green Gram),27.0,24.0
Andhra Pradesh,SRIKAKULAM,2008,Kharif     ,Ragi,1384.0,1518.0
Odisha,MALKANGIRI,1997,Winter     ,Paddy,74197.0,54703.0
Bihar,MUZAFFARPUR,1997,Rabi       ,Barley,1255.0,1839.0
Chhattisgarh,KANKER,2014,Rabi       ,Peas & beans (Pulses),1591.0,411.0
Puducherry,PONDICHERRY,2011,Rabi       ,Turmeric,4.0,6.0
Kerala,PATHANAMTHITTA,2003,Whole Year ,Bhindi,37.0,0.0
Nagaland,DIMAPUR,2010,Rabi       ,Maize,1330.0,2610.0
Andhra Pradesh,KRISHNA,2005,Whole Year ,Cashewnut,307.0,82.0
Uttarakhand,HARIDWAR,2000,Kharif     ,Bajra,11.0,15.0
Meghalaya,SOUTH WEST GARO HILLS,2014,Rabi       ,Linseed,13.0,7.0
Goa,NORTH GOA,2014,Whole Year ,Cashewnut,40819.0,18297.0
Bihar,SAMASTIPUR,2010,Kharif     ,Jute,22.0,201.0
Punjab,NAWANSHAHR,2008,Rabi       ,Rapeseed &Mustard,1000.0,1000.0
Telangana ,RANGAREDDI,2003,Whole Year ,Coconut ,11.0,129580.0
Nagaland,PHEK,2006,Rabi       ,Gram,70.0,90.0
Kerala,WAYANAD,2012,Whole Year ,Horse-gram,2.0,
Punjab,BATHINDA,1997,Kharif     ,Bajra,1000.0,1000.0
Madhya Pradesh,MANDLA,2011,Rabi       ,Khesari,3080.0,1413.0
Chhattisgarh,KORBA,2010,Rabi       ,Gram,330.0,295.0
Bihar,SIWAN,1998,Whole Year ,Coriander,85.0,52.0
Puducherry,YANAM,2004,Winter     ,Rice,270.0,1123.0
Andhra Pradesh,KURNOOL,2005,Kharif     ,Soyabean,994.0,548.0
Tripura,SOUTH TRIPURA,2007,Kharif     ,Urad,265.0,194.0
Madhya Pradesh,RAJGARH,2003,Kharif     ,other misc. pulses,187.0,0.01
Haryana,ROHTAK,2001,Kharif     ,Horse-gram,3.0,0.0
Chhattisgarh,MAHASAMUND,2013,Kharif     ,Groundnut,5370.0,8072.0
Karnataka,UTTAR KANNAD,2000,Whole Year ,Arecanut,11160.0,15169.0
Manipur,CHURACHANDPUR,2002,Whole Year ,Pineapple,1810.0,13000.0
West Bengal,PURULIA,2013,Kharif     ,Sunflower,44.0,41.0
West Bengal,MURSHIDABAD,2012,Winter     ,Sesamum,66.0,59.0
Odisha,GANJAM,2000,Kharif     ,Mesta,1530.0,4920.0
Karnataka,BELGAUM,2013,Kharif     ,Jowar,27982.0,33229.0
Manipur,IMPHAL EAST,2002,Whole Year ,Cabbage,213.0,2641.0
Uttar Pradesh,GHAZIPUR,2009,Rabi       ,Garlic,12.0,64.0
Himachal Pradesh,KULLU,2001,Kharif     ,Arhar/Tur,1370.0,312.0
Maharashtra,SINDHUDURG,2010,Rabi       ,Rapeseed &Mustard,100.0,40.0
Punjab,LUDHIANA,2008,Rabi       ,Rapeseed &Mustard,1000.0,1000.0
Meghalaya,WEST GARO HILLS,2008,Whole Year ,Sugarcane,40.0,125.0
West Bengal,PURULIA,2011,Kharif     ,Sannhamp,91.0,364.0
Tamil Nadu,KANNIYAKUMARI,2003,Whole Year ,Tomato,4.0,40.0
Meghalaya,EAST GARO HILLS,2003,Whole Year ,Pineapple,894.0,15101.0
Telangana ,MEDAK,2010,Kharif     ,Castor seed,732.0,358.0
Uttar Pradesh,UNNAO,2014,Rabi       ,Linseed,15.0,9.0
Andhra Pradesh,EAST GODAVARI,2012,Kharif     ,Papaya,231.0,25164.0
West Bengal,PURULIA,2002,Summer     ,Groundnut,90.0,144.0
Andhra Pradesh,VIZIANAGARAM,2002,Kharif     ,Onion,130.0,1554.0
Odisha,DHENKANAL,2000,Autumn     ,Rice,15640.0,6260.0
Bihar,VAISHALI,1997,Whole Year ,Sugarcane,72.0,1699.0
West Bengal,DINAJPUR DAKSHIN,2008,Rabi       ,Rapeseed &Mustard,23167.0,17169.0
Puducherry,KARAIKAL,1999,Whole Year ,Cashewnut,7.0,4.0
Odisha,PURI,2012,Summer     ,Sesamum,232.0,68.9
West Bengal,HOOGHLY,2003,Kharif     ,Sunflower,81.0,25.0
Odisha,SAMBALPUR,1998,Winter     ,Moong(Green Gram),51.0,10.0
Uttarakhand,TEHRI GARHWAL,2010,Kharif     ,Arhar/Tur,831.0,541.0
Bihar,ROHTAS,2012,Kharif     ,Other Kharif pulses,8.0,7.0
Uttar Pradesh,LUCKNOW,2011,Kharif     ,Guar seed,6.0,5.0
Telangana ,RANGAREDDI,2003,Whole Year ,Tapioca,6.0,38.0
Haryana,JIND,2008,Whole Year ,Sannhamp,3.0,
Dadra and Nagar Haveli,DADRA AND NAGAR HAVELI,2004,Kharif     ,Other Kharif pulses,1374.0,1168.0
Odisha,BALANGIR,2008,Autumn     ,Maize,945.0,663.1
Gujarat,KHEDA,2011,Rabi       ,Wheat,76000.0,220600.0
Uttarakhand,UDAM SINGH NAGAR,2009,Rabi       ,Moong(Green Gram),7.0,5.0
Karnataka,DHARWAD,2009,Kharif     ,Other Kharif pulses,1587.0,703.0
Haryana,AMBALA,2012,Whole Year ,Turmeric,8.0,7.0
Telangana ,KARIMNAGAR,2005,Whole Year ,Coriander,52.0,22.0
Haryana,MAHENDRAGARH,1997,Rabi       ,Wheat,41000.0,171000.0
Kerala,ALAPPUZHA,2006,Whole Year ,Cashewnut,2995.0,978.0
Haryana,PANIPAT,2011,Whole Year ,Turmeric,9.0,
Goa,NORTH GOA,2012,Kharif     ,Other Kharif pulses,224.0,189.0
Telangana ,NIZAMABAD,2000,Whole Year ,Sugarcane,19262.0,1559952.0
Tamil Nadu,THE NILGIRIS,2002,Whole Year ,Pump Kin,4.0,0.0
Odisha,KANDHAMAL,2002,Kharif     ,Other Kharif pulses,1490.0,550.0
Chhattisgarh,BILASPUR,2006,Whole Year ,Sweet potato,262.0,1703.0
Uttar Pradesh,JHANSI,1999,Kharif     ,Soyabean,3310.0,1940.0
Andhra Pradesh,SRIKAKULAM,2005,Whole Year ,Dry ginger,139.0,383.0
Nagaland,DIMAPUR,2000,Kharif     ,Cotton(lint),91.0,130.0
Goa,NORTH GOA,2004,Kharif     ,Groundnut,3204.0,5234.0
Andhra Pradesh,EAST GODAVARI,2005,Rabi       ,Other  Rabi pulses,453.0,260.0
Gujarat,AMRELI,2006,Kharif     ,Moth,600.0,200.0
